
1. Two Sum, finish
121. Best Time to Buy and Sell Stock, finish
189. Rotate Array, finish
217. Contains Duplicate, finish
283. Move Zeroes, finish
136. Single Number, finish
350. Intersection of Two Arrays II, finish (good)
169. Majority Element, finish (good)
66. Plus One, finish (good)
3370. Smallest Number With All Set Bits, finish
977. Squares of a Sorted Array, finish
88. Merge Sorted Array, finish
26. Remove Duplicates from Sorted Array, finish
27. Remove Element, finish
448. Find All Numbers Disappeared in an Array, finish
